backend,zone_class,context,causal_score
tfidf,SH-RO,Residential,0.1626294011690563
tfidf,SH-RM,Residential,0.1120562723720351
tfidf,SH-CN,Non-Residential,0.1090671722660823
tfidf,SH-RS,Residential,0.1085067108027245
tfidf,M-AP-1,Other/PD,0.1062674844271935
tfidf,M-AP-2,Other/PD,0.1057844853784596
tfidf,CD-3,Non-Residential,0.1026408530291379
tfidf,CD-1,Non-Residential,0.1018397262220496
tfidf,CD-2,Non-Residential,0.0993766088969238
tfidf,SH-RS-A,Residential,0.0986681046108659
tfidf,RO,Residential,0.0869592650165008
tfidf,SH-CG,Non-Residential,0.0819086695255134
tfidf,SH-CI,Non-Residential,0.0792301361634854
tfidf,M-AP-3,Other/PD,0.0764348946834876
tfidf,RO-1,Residential,0.0689267532237591
tfidf,M-AP-4,Other/PD,0.0677452065956352
tfidf,PD,Other/PD,0.0647784331820636
tfidf,RM-16,Residential,0.0640378244730746
tfidf,RM-18,Residential,0.0626089247916388
tfidf,PD-A,Other/PD,0.0601225021159085
tfidf,RM-12,Residential,0.0595472269702052
tfidf,SH-PD,Residential,0.0578502181422409
tfidf,RS-50,Residential,0.0574363870327964
tfidf,RS-60,Residential,0.0571826813365102
tfidf,CU,Other/PD,0.0557052410493229
tfidf,RM-50,Residential,0.0507100799993814
tfidf,RM-75,Residential,0.0505130172601558
tfidf,RM-24/18,Other/PD,0.0465356488651196
tfidf,RS-75,Residential,0.0395925327588461
tfidf,RS-100,Residential,0.0394520071772271
tfidf,RS-150,Residential,0.0391611404410738
tfidf,IG,Non-Residential,0.0317757837837484
tfidf,YC-9,Residential,0.0316694798328208
tfidf,IH,Non-Residential,0.0282842945143435
tfidf,NMU-35,Non-Residential,0.0273908472569228
tfidf,OP-1,Non-Residential,0.0239641295887393
tfidf,CBD-2,Non-Residential,0.0234158031648564
tfidf,OP,Non-Residential,0.0231164396443246
tfidf,CBD-1,Non-Residential,0.0190648454400945
tfidf,YC-2,Residential,0.0160197947564798
tfidf,NMU-24,Non-Residential,0.0142158278360606
tfidf,RM-35,Residential,0.0124775459388514
tfidf,RM-24,Residential,0.0113149380247894
tfidf,NMU-16,Non-Residential,0.0112567622916214
tfidf,YC-8,Residential,0.0107795091943122
tfidf,CN,Non-Residential,0.001294079848791
tfidf,YC-4,Residential,-0.0021017834395791
tfidf,YC-7,Non-Residential,-0.0131823792515099
tfidf,YC-3,Non-Residential,-0.0132990952577805
tfidf,AS-1,Other/PD,-0.0260341253715451
tfidf,CI,Non-Residential,-0.0287686585835355
tfidf,YC-5,Non-Residential,-0.0302764713455129
tfidf,YC-6,Non-Residential,-0.0317891867827424
tfidf,UC,Other/PD,-0.0331234522504695
tfidf,CG,Non-Residential,-0.0389540717555788
tfidf,YC-1,Non-Residential,-0.0416162049878041
minilm,YC-9,Residential,0.0510617278438861
minilm,YC-8,Residential,0.0510617267676377
minilm,YC-3,Non-Residential,0.0510617266340466
minilm,YC-4,Residential,0.0510617266269587
minilm,YC-1,Non-Residential,0.0510617266191772
minilm,YC-2,Residential,0.0510617266191772
minilm,YC-6,Non-Residential,0.0510617265985767
minilm,YC-5,Non-Residential,0.0510617265800952
minilm,YC-7,Non-Residential,0.0510617264985069
minilm,CBD-2,Non-Residential,0.0317870974508614
minilm,CBD-1,Non-Residential,0.0295841277902084
minilm,SH-CN,Non-Residential,0.0187412347246588
minilm,SH-CG,Non-Residential,0.0186472435040796
minilm,SH-RM,Residential,0.0139916843766275
minilm,SH-RO,Residential,0.0115891509515847
minilm,SH-CI,Non-Residential,0.0114655299472708
minilm,AS-1,Other/PD,0.0100248397510281
minilm,SH-RS-A,Residential,0.0067018371619053
minilm,SH-RS,Residential,0.0056220025197547
minilm,CD-3,Non-Residential,0.003401157967307
minilm,SH-PD,Residential,0.0030945724417155
minilm,CU,Other/PD,0.0029919712152498
minilm,M-AP-2,Other/PD,-0.002940888458574
minilm,PD-A,Other/PD,-0.0044265910168447
minilm,PD,Other/PD,-0.0044265917783159
minilm,UC,Other/PD,-0.0051883163259676
minilm,OP,Non-Residential,-0.0077874606121089
minilm,CN,Non-Residential,-0.0098740279762723
minilm,RS-60,Residential,-0.010890068306731
minilm,OP-1,Non-Residential,-0.0111835744208464
minilm,M-AP-1,Other/PD,-0.012416636645834
minilm,CD-1,Non-Residential,-0.0140351003775277
minilm,RS-50,Residential,-0.0145401713663825
minilm,RS-150,Residential,-0.0165197326238639
minilm,CD-2,Non-Residential,-0.0165863079559621
minilm,RM-18,Residential,-0.0175833366944113
minilm,NMU-16,Non-Residential,-0.0184803383739992
minilm,CG,Non-Residential,-0.0187791459915144
minilm,RS-100,Residential,-0.0190982317705818
minilm,RM-24,Residential,-0.019161978821655
minilm,RM-50,Residential,-0.0195561569217189
minilm,RM-12,Residential,-0.0196576872729215
minilm,M-AP-3,Other/PD,-0.0200240252126636
minilm,NMU-24,Non-Residential,-0.0203301502580392
minilm,RM-16,Residential,-0.0209561659055858
minilm,RS-75,Residential,-0.0211723608947099
minilm,CI,Non-Residential,-0.0215901552427027
minilm,RM-35,Residential,-0.0216361845055331
minilm,RM-75,Residential,-0.022022398968818
minilm,NMU-35,Non-Residential,-0.0220780973800554
minilm,IG,Non-Residential,-0.0250291075840956
minilm,IH,Non-Residential,-0.0252279551947715
minilm,RO,Residential,-0.0275151904008493
minilm,RO-1,Residential,-0.0291946911032105
minilm,RM-24/18,Other/PD,-0.0384078048716836
minilm,M-AP-4,Other/PD,-0.048881251235054
mpnet,SH-PD,Residential,0.0445045729300945
mpnet,AS-1,Other/PD,0.025580997232963
mpnet,NMU-16,Non-Residential,0.0250441916816322
mpnet,RM-24/18,Other/PD,0.0234245105045393
mpnet,M-AP-1,Other/PD,0.0219297932350636
mpnet,M-AP-2,Other/PD,0.0181168625182717
mpnet,SH-CI,Non-Residential,0.0168687310162664
mpnet,SH-CG,Non-Residential,0.016859973234272
mpnet,SH-RS,Residential,0.0123759037859251
mpnet,RM-16,Residential,0.0122447564824792
mpnet,RM-18,Residential,0.0111011226901157
mpnet,PD-A,Other/PD,0.0110242150041786
mpnet,PD,Other/PD,0.0110242118302715
mpnet,SH-RM,Residential,0.0093797414432934
mpnet,SH-CN,Non-Residential,0.0087754076817816
mpnet,YC-8,Residential,0.007773750147958
mpnet,YC-6,Non-Residential,0.007773749586318
mpnet,YC-5,Non-Residential,0.007773749586318
mpnet,YC-4,Residential,0.007773749586318
mpnet,YC-3,Non-Residential,0.007773749586318
mpnet,YC-2,Residential,0.007773749586318
mpnet,YC-1,Non-Residential,0.007773749586318
mpnet,YC-7,Non-Residential,0.007773749586318
mpnet,YC-9,Residential,0.0077737495156798
mpnet,RM-24,Residential,0.007628138089671
mpnet,SH-RO,Residential,0.0061917518612846
mpnet,SH-RS-A,Residential,0.0057798226737968
mpnet,RM-12,Residential,0.0041455930993451
mpnet,RS-60,Residential,0.003435649086287
mpnet,CN,Non-Residential,0.0006626162269778
mpnet,IH,Non-Residential,3.621865544462384e-05
mpnet,RM-35,Residential,-0.0008430380970352
mpnet,CU,Other/PD,-0.0015788134944343
mpnet,RS-50,Residential,-0.0021926205877409
mpnet,RM-50,Residential,-0.0035120360406056
mpnet,NMU-35,Non-Residential,-0.0035251217626999
mpnet,IG,Non-Residential,-0.0056474264655772
mpnet,CG,Non-Residential,-0.0057611439800102
mpnet,CBD-1,Non-Residential,-0.0058092522561491
mpnet,RS-150,Residential,-0.0058827684914319
mpnet,RM-75,Residential,-0.0073121130972872
mpnet,RS-75,Residential,-0.0073825927060218
mpnet,RS-100,Residential,-0.0086332668905294
mpnet,CI,Non-Residential,-0.0088966527418383
mpnet,RO,Residential,-0.00995314364954
mpnet,RO-1,Residential,-0.0105125865226354
mpnet,CBD-2,Non-Residential,-0.0110839130382782
mpnet,OP,Non-Residential,-0.0119898107532981
mpnet,OP-1,Non-Residential,-0.014745243706877
mpnet,M-AP-3,Other/PD,-0.0159460913553085
mpnet,M-AP-4,Other/PD,-0.0224852162943172
mpnet,UC,Other/PD,-0.0229532892417648
mpnet,NMU-24,Non-Residential,-0.031836174722662
mpnet,CD-2,Non-Residential,-0.0443893062893657
mpnet,CD-3,Non-Residential,-0.0498337573447874
mpnet,CD-1,Non-Residential,-0.0533931399123311
multi-qa,CD-1,Non-Residential,0.1490524862748435
multi-qa,CD-2,Non-Residential,0.1455565549832462
multi-qa,CD-3,Non-Residential,0.1429580389536781
multi-qa,M-AP-3,Other/PD,0.1123880735772064
multi-qa,M-AP-4,Other/PD,0.1029616838614849
multi-qa,M-AP-2,Other/PD,0.0586272719633806
multi-qa,M-AP-1,Other/PD,0.0456875394927571
multi-qa,RM-24/18,Other/PD,0.0409941462526839
multi-qa,SH-PD,Residential,0.0239872785334237
multi-qa,RM-12,Residential,0.0219091220707612
multi-qa,RM-18,Residential,0.0174093110947146
multi-qa,RM-75,Residential,0.0105859398873837
multi-qa,RM-16,Residential,0.0101817622223044
