feature,theta,se_within,se_across,se_combined,t_stat,p_raw,ci_lo,ci_hi,p_bh,sig_bh,sig_raw,spec,dimension,feature_label
density_permissions,-0.0097561266283624,0.0246979019705806,0.0392197666790949,0.0463484245698929,-0.2104953236037254,0.8332811011302362,-0.100597369525524,0.081085116268799,0.9288874874154228,,,GB_Full,D1,density_permissions (LLM)
min_lot_area,0.0009262106601099,0.0096261544479407,0.0130203024535037,0.016192316864375,0.0572006259430191,0.9543853795481227,-0.0308101472203256,0.0326625685405455,0.9543853795481227,,,GB_Full,D1,"min_lot_area (scraped, inv.)"
max_height,-0.0150191929205385,0.0147877415712599,0.0095580625026242,0.0176077783829318,-0.8529862537966452,0.3936669272240691,-0.0495298043988478,0.0194914185577707,0.918556163522828,,,GB_Full,D1,max_height (scraped)
use_mixing,0.0151299110899179,0.0129307757048196,0.0364002937862058,0.0386288279404183,0.3916740915166909,0.6952990355741294,-0.0605812004382966,0.0908410226181325,0.9288874874154228,,,GB_Full,D2,use_mixing (LLM)
use_flexibility,0.0567015265791551,0.0123869038381426,0.0161612238762378,0.020362233273226,2.784641832667297,0.0053586879199797,0.016792282718829,0.0966107704394813,0.0429483647592095,*,**,GB_Full,D2,use_flexibility (LLM)
parking_intensity,0.0050095340524142,0.0180602497812267,0.0258586650709183,0.0315411347514675,0.1588254224804381,0.8738064187990939,-0.0568099540919868,0.0668290221968153,0.9288874874154228,,,GB_Full,D4,"parking_intensity (LLM, inv.)"
reduced_parking,-0.0130842093794395,0.0114045791748271,0.021539069246313,0.0243720317198294,-0.5368534527547858,0.5913688456942171,-0.060852513780373,0.0346840950214938,0.9288874874154228,,,GB_Full,D4,reduced_parking (binary)
ped_street_interface,0.0071889990593728,0.0183527218941048,0.0374861151436584,0.0417376476276031,0.1722425548156299,0.8632468438735154,-0.074615287090153,0.0889932852088987,0.9288874874154228,,,GB_Full,D3,ped_street_interface (LLM)
front_setback,0.0269110142565989,0.0169614283924389,0.0217122247696967,0.027551964676982,0.9767366709453384,0.3286995354859054,-0.0270898442136055,0.0809118727268034,0.8628362806505019,,,GB_Full,D3,"front_setback (scraped, inv.)"
lot_width,0.0083072971950817,0.0083264366224961,0.0127383511034087,0.0152182500854125,0.5458772952512284,0.5851502863981269,-0.0215199248800504,0.0381345192702139,0.9288874874154228,,,GB_Full,D3,"lot_width (scraped, inv.)"
frontage_std,0.0397176165813287,0.0139731192418623,0.0105326383414224,0.0174981293794081,2.2698207174115708,0.0232184630346734,0.0054219132008665,0.0740133199617909,0.081264620621357,†,*,GB_Full,D3,frontage_std (binary)
transparency_activation,0.0236871089669192,0.0225593918491769,0.02903319558834,0.0367675482820859,0.6442395556317313,0.5194201044145274,-0.0483759614658067,0.0957501793996452,0.9288874874154228,,,GB_Full,D3,transparency_activation (LLM)
setback_building_placement,0.0094116934092548,0.0206368184240135,0.0300390587810484,0.0364447983547308,0.2582451772032684,0.7962176936810277,-0.0620187987898421,0.0808421856083518,0.9288874874154228,,,GB_Full,D5,setback_building_placement (LLM)
side_setback,-0.0112667117679788,0.0133976816016453,0.0128407214316639,0.0185575321415499,-0.6071233869913586,0.5437690306973986,-0.0476388064073611,0.0251053828714035,0.9288874874154228,,,GB_Full,D5,"side_setback (scraped, inv.)"
rear_setback,0.0037203515552581,0.0143815203824786,0.01141794189137,0.0183629389136475,0.2026010963034447,0.8394468330471297,-0.0322703473658001,0.0397110504763164,0.9288874874154228,,,GB_Full,D5,"rear_setback (scraped, inv.)"
form_based_design,-0.1358964975732248,0.0326019232239747,0.0373656556035992,0.0495890876765113,-2.740451658633644,0.006135480679887,-0.2330893234453861,-0.0387036717010634,0.0429483647592095,*,**,GB_Full,D6,form_based_design (LLM)
human_scale_design,-0.0829961061566981,0.0178251962028152,0.0177906389212412,0.0251842103885518,-3.29556118203437,0.000982253124639,-0.1323562514973392,-0.033635960816057,0.0206273156174197,*,***,GB_Full,D6,human_scale_design (binary)
ped_scale_lang,0.0055987563384045,0.0326277337567698,0.0206122675489131,0.0385931934881092,0.1450710820323693,0.8846547499194505,-0.0700425129466752,0.0812400256234844,0.9288874874154228,,,GB_Full,D6,ped_scale_lang (binary)
transit_orientation,0.1418345938095355,0.0457824398414713,0.0385905123658238,0.0598770360196189,2.368764441898275,0.0178476164840524,0.0244777597100748,0.2591914279089962,0.0749599892330204,†,*,GB_Full,D7,transit_orientation (LLM)
transit_orient,0.0367878354038839,0.0114873431075265,0.0146472297261606,0.0186145209533031,1.976297724565184,0.0481210671774933,0.0003040447459435,0.0732716260618243,0.14436320153248,,*,GB_Full,D7,transit_orient (binary)
open_space_green,-0.0931129224057016,0.0143223722922781,0.0333496631473297,0.036295046220097,-2.5654443816121626,0.0103043739910964,-0.1642499058143084,-0.0219759389970948,0.0540979634532566,†,*,GB_Full,D8,open_space_green (LLM)
density_permissions,-0.0528229262234968,0.0488786703522636,0.0237714947449785,0.054352629907078,-0.9718559398837482,0.3311222217910186,-0.1593521233064045,0.0537062708594107,0.4345979161007118,,,RF_Full,D1,density_permissions (LLM)
min_lot_area,-0.0397326986997571,0.0191804763825777,0.0201513266034158,0.0278202558963816,-1.4281931427138634,0.1532362738144524,-0.0942593982973532,0.0147940008978389,0.306659286816126,,,RF_Full,D1,"min_lot_area (scraped, inv.)"
max_height,-0.0313071715988459,0.0168032469963883,0.0051255757505999,0.0175676018965814,-1.7820970547458788,0.0747334060308504,-0.065739038610883,0.0031246954131912,0.2615669211079764,,†,RF_Full,D1,max_height (scraped)
use_mixing,0.0383344208502516,0.0283720596095034,0.0387131979857035,0.0479967234794782,0.7986882868502906,0.4244711802790674,-0.0557374285454537,0.1324062702459569,0.4952163769922453,,,RF_Full,D2,use_mixing (LLM)
use_flexibility,0.0385992747048894,0.0314363038837021,0.0285506948851004,0.042466261670773,0.9089397838721224,0.3633819121201398,-0.0446330687278795,0.1218316181376584,0.4488835385013492,,,RF_Full,D2,use_flexibility (LLM)
parking_intensity,0.0983035398790062,0.0359866296372145,0.0311582714087509,0.0476012120625876,2.065147831734905,0.0389090148344067,0.0050068786158809,0.1916002011421315,0.1634178623045084,,*,RF_Full,D4,"parking_intensity (LLM, inv.)"
reduced_parking,0.0406553780860741,0.0249794931240464,0.0235468337743301,0.0343282457683205,1.1843127190493508,0.2362892958277825,-0.0266267472722737,0.1079375034444219,0.3816980932602641,,,RF_Full,D4,reduced_parking (binary)
ped_street_interface,-0.1662499408629345,0.0449686457994901,0.0573277800625745,0.0728605069426704,-2.281756576216888,0.0225037157976425,-0.3090539103658991,-0.0234459713599698,0.1575260105834981,,*,RF_Full,D3,ped_street_interface (LLM)
front_setback,-0.0199303357501948,0.0451584792604104,0.0400675044819058,0.0603712942094209,-0.3301293439404971,0.7413022317482675,-0.1382558981007313,0.0983952266003416,0.7783673433356808,,,RF_Full,D3,"front_setback (scraped, inv.)"
lot_width,0.0249707570062336,0.0118664181037837,0.0126920548293664,0.0173752736498004,1.437143236389858,0.1506772980446635,-0.009084153568903,0.0590256675813704,0.306659286816126,,,RF_Full,D3,"lot_width (scraped, inv.)"
