feature,dimension,feature_label,spec,theta,se_hc1,se_boot,t_stat,p_raw,ci_lo,ci_hi,n_boot_valid
density_permissions,D1,density_permissions (LLM),RF_Full,0.0884468650550435,0.0578563293896067,0.0480194544638599,1.8418964988785904,0.0654902908468087,-0.005669536251383,0.1825632663614701,50
density_permissions,D1,density_permissions (LLM),RF_NoTravel,0.1181835338643109,0.0669119386520472,0.0566185034880515,2.0873659066112875,0.0368550713602609,0.0072133061691745,0.2291537615594474,50
density_permissions,D1,density_permissions (LLM),GB_Full,0.0294145237863298,0.0262070339838702,0.0203901732690953,1.4425833168819815,0.1491378857755809,-0.0105494814596283,0.069378529032288,50
density_permissions,D1,density_permissions (LLM),GB_NoTravel,0.0870638817910711,0.0339043043542648,0.02298982505992,3.787061518047663,0.0001524393687416,0.0420046526627514,0.1321231109193909,50
min_lot_area,D1,"min_lot_area (scraped, inv.)",RF_Full,0.0389884301836763,0.0197553199501774,0.0168856439669816,2.308969101795276,0.0209452958805084,0.0058931761526263,0.0720836842147264,50
min_lot_area,D1,"min_lot_area (scraped, inv.)",RF_NoTravel,0.0258904159682328,0.0218796750686019,0.0201959243612182,1.2819624150479343,0.1998558311566037,-0.0136928684142501,0.0654737003507157,50
min_lot_area,D1,"min_lot_area (scraped, inv.)",GB_Full,0.0378492142032536,0.0099035766171556,0.0083702662668237,4.521865015605535,6.129714598263485e-06,0.0214437937792684,0.0542546346272387,50
min_lot_area,D1,"min_lot_area (scraped, inv.)",GB_NoTravel,0.04762324561835434,0.012720540015973556,0.009098945208229377,5.233930365388106,1.6594299036918895e-07,0.02978964071292146,0.06545685052378722,50
max_height,D1,max_height (scraped),RF_Full,-0.05249235777604847,0.024320897847179737,0.024753950744421924,-2.1205648471235303,0.03395843899872738,-0.10100920971019389,-0.0039755058419030445,50
max_height,D1,max_height (scraped),RF_NoTravel,-0.08774942334988063,0.028341394123046804,0.02788044277499045,-3.1473468358470393,0.0016475939927789662,-0.14239408706189188,-0.03310475963786939,50
max_height,D1,max_height (scraped),GB_Full,-0.013488031682904498,0.015678701563271842,0.014849359758135101,-0.9083241232346863,0.36370700097013375,-0.0425922420023277,0.015616178636518707,50
max_height,D1,max_height (scraped),GB_NoTravel,-0.013689999744823605,0.02064613653839937,0.018072885103163412,-0.7574883404989587,0.44875734855842264,-0.049112203643754355,0.021732204154107142,50
use_mixing,D2a,use_mixing (LLM),RF_Full,0.046212598509949576,0.03246208642980974,0.025769873748861954,1.7932799733638747,0.07292816797819805,-0.004295425923964036,0.09672062294386319,50
use_mixing,D2a,use_mixing (LLM),RF_NoTravel,0.022423470496877554,0.03892125066444195,0.033419630638410094,0.6709670354975631,0.5022415296954841,-0.043077801931037565,0.08792474292479267,50
use_mixing,D2a,use_mixing (LLM),GB_Full,0.021347710547367425,0.013328476002369813,0.010387428595894706,2.0551487165749966,0.039864642714675526,0.000988724607432337,0.04170669648730251,50
use_mixing,D2a,use_mixing (LLM),GB_NoTravel,0.044772412422254014,0.017684871196129354,0.015788756632660533,2.8357148991477934,0.004572324237812249,0.01382701806157147,0.07571780678293656,50
use_flexibility,D2b,use_flexibility (LLM),RF_Full,0.09615813521757088,0.03475778879092529,0.026861043317756423,3.579836199214414,0.00034380965301980104,0.04351145772759801,0.14880481270754375,50
use_flexibility,D2b,use_flexibility (LLM),RF_NoTravel,0.12099076700525267,0.041265899680359985,0.031392531181263165,3.8541258844863964,0.00011614382925377233,0.05946253650642623,0.18251899750407913,50
use_flexibility,D2b,use_flexibility (LLM),GB_Full,0.024904807520667,0.01263384096880407,0.010171438822991753,2.4485038895747575,0.014345088113841694,0.004969153756650687,0.04484046128468332,50
use_flexibility,D2b,use_flexibility (LLM),GB_NoTravel,0.04549275841681664,0.016670665691221696,0.014103782014201321,3.2255715786736676,0.001257213940688045,0.017849853623178268,0.073135663210455,50
parking_intensity,D3,"parking_intensity (LLM, inv.)",RF_Full,0.09094709633580808,0.043677806871419374,0.030922921134522083,2.941090071670995,0.0032705941646666687,0.03033928461537233,0.15155490805624383,50
parking_intensity,D3,"parking_intensity (LLM, inv.)",RF_NoTravel,0.08272873959411753,0.056260327014594776,0.03248621815021184,2.5465795745011355,0.010878440629516645,0.0190569220257909,0.14640055716244416,50
parking_intensity,D3,"parking_intensity (LLM, inv.)",GB_Full,0.04173768891150548,0.01978188327079895,0.01488923316834892,2.803212794076608,0.005059627401625435,0.012555328144122396,0.07092004967888856,50
parking_intensity,D3,"parking_intensity (LLM, inv.)",GB_NoTravel,0.082813478295188,0.025179696908010855,0.01706827389113775,4.851895324821728,1.2228716397234012e-06,0.04936027619029268,0.11626668040008331,50
reduced_parking,D3,reduced_parking (binary),RF_Full,-0.0020711890271545843,0.030856534240505506,0.021732049987654854,-0.09530573638157226,0.9240719864234586,-0.04466522431318223,0.040522846258873056,50
reduced_parking,D3,reduced_parking (binary),RF_NoTravel,0.023966248407514785,0.03610076925965793,0.025092027538368183,0.9551339911000827,0.3395099414669015,-0.02521322186677408,0.07314571868180365,50
reduced_parking,D3,reduced_parking (binary),GB_Full,-0.023842873670614096,0.012025707808154078,0.009225956865321466,-2.5843252920718403,0.009756972253063259,-0.041925416849564225,-0.0057603304916639675,50
reduced_parking,D3,reduced_parking (binary),GB_NoTravel,-0.027685270103501504,0.015698792078559932,0.01433357634482487,-1.9314977251645402,0.053421530367382425,-0.05577856350901352,0.00040802330201051423,50
ped_street_interface,D4a,ped_street_interface (LLM),RF_Full,0.09006642249542772,0.05276177904185727,0.033646269461267815,2.6768620693330782,0.007431522166145193,0.024120946137212912,0.15601189885364253,50
ped_street_interface,D4a,ped_street_interface (LLM),RF_NoTravel,0.11786466295173414,0.06130375650109518,0.03613198814341321,3.262058608120645,0.001106062733702357,0.047047267500816004,0.1886820584026523,50
